Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,4.88713560049167,4.61012241010557,6.5620284925223,5.17037414583618,2.80831670109337,3.95074287081186,3.87475976651232,2.4607540856619,1.35648590551186,1.03081685259869,0.93503293482838,0.692051826700269,1.13822893851655,2.13535781849357,2.59075665615847,1.79663785158395,0.746664790352749,0.762933470313563,0.678450763317743,0.230041095930877,0.736689418341162,1.46978228958006,1.49203139661921,1.06551209965487,1.02370103122312,0.75796755862231,0.007357607309414,0.158975971141518,0.270504632854835,-0.565684046703506,-0.82021108315363,-0.362774222330685,0.0456516784920034,0.590657103226071
Africa Eastern and Southern,AFE,2.75069381267418,2.66048165065413,2.76949139016801,2.65931727355301,2.59624753960851,2.64520724063808,2.56360934676329,2.59082906065185,2.62289295632848,2.59538933998788,2.5886417713116,2.60780157535376,2.61906809457548,2.64137149821667,2.65847839652985,2.66976588552462,2.69144498343854,2.72364001522085,2.73723757208867,2.73452519643287,2.68462143269084,2.69351289263264,2.7482455829431,2.70410469635344,2.69683038788555,2.64074325542301,2.64206728810391,2.73426282366823,2.72168052257397,2.69951609745311,2.6494391643563,2.59275445199729,2.51916664518144,2.47280147854539
Afghanistan,AFG,1.59132588364829,8.15641941048095,11.8072591071712,8.38872960212999,4.89368011973163,4.00540467357125,3.80450803445817,3.7646866376293,3.72811603964771,1.21217597601851,0.762004896898895,5.25202958527833,6.14519400188515,3.57583485398158,3.51921696042587,4.09270201656348,1.8925975396006,2.18654618162979,3.64638090813246,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907,2.53571991833963,2.80833730805469,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397,2.83657317243522
Africa Western and Central,AFW,2.64300140464419,2.75593895058625,2.70082777138451,2.65462164834649,2.72302903559725,2.7205854804256,2.71907260451378,2.76168483699296,2.73166191861256,2.75132392809025,2.80153964354323,2.81077138406323,2.8141742241892,2.82856501787792,2.83958955807186,2.82608419767989,2.8219705369228,2.82607178878814,2.79237396747975,2.78698893627561,2.82286088448152,2.78126173094488,2.73116206800931,2.73031560628191,2.69935903335602,2.67291294656133,2.62629564056769,2.53362052736347,2.44004800908883,2.38917570433681,2.3638289749527,2.33227039388145,2.38620356038992,2.39847314152298
Angola,AGO,3.35905461487339,3.27414246108306,3.19559442992564,3.24168920160086,3.33998873703717,3.3816089218138,3.39551504166387,3.34679546644871,3.29527663572252,3.31228746945312,3.35370941359163,3.40747615681454,3.49334277776736,3.59445752400652,3.64626893356444,3.68489201610335,3.74258021023639,3.77828976645524,3.80156187494836,3.85109824897149,3.8879459971363,3.88358355528674,3.84998068971631,3.73272806660513,3.60507162233632,3.57644143982026,3.54061221486272,3.45323300897802,3.38788422184303,3.26795864914978,3.18132259995095,3.14302612044601,3.08065530722915,3.04419972245653
Albania,ALB,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-1.54313670532257,-1.54314471365633,-1.54313753739282,-1.54312006878448,-1.54313470861992,-1.54315156766944,-1.54309991591532,-1.54313709096794,-1.54315589345436,-1.54312080996395,-1.54315667695786,-1.54310811387613,-1.54314393524594
Andorra,AND,7.45329468211735,6.0480321596983,4.97705409023407,2.09572588343954,-1.08930148717707,0.112591492472177,1.11281494023923,1.04857897159494,0.500412968697236,-0.038053198830509,0.253921086430399,0.988236936986141,4.38331242746588,6.73220754538658,4.08106927409514,2.7567571256705,2.83924882561682,1.95686286864098,0.469582600578118,-3.86696538756774,-3.68900236441521,-1.22756477898092,-2.15758099819573,-1.95667320426838,-2.14248382559065,0.00969831319383994,2.16803975005007,1.87885332176802,1.73050296926809,1.17775354895761,1.26362889534188,1.69676808598242,1.43374756867515,1.32930689449906
Arab World,ARB,2.31107571877806,2.55857635622995,2.77963018835214,2.74309358024757,2.52257722068187,2.44150862810139,2.40563252454036,2.41979841334517,2.3935256711417,2.41543527490979,2.42446364867946,2.39338192520223,2.34144421249202,2.32646818002896,2.37373785357332,2.41849081690974,2.5160369697056,2.54491691477219,2.47204998946198,1.99515168852155,2.30736970092213,2.38370613008674,2.57120480453802,2.34512756475237,2.4580221910701,2.31761538561915,2.00626985832883,1.77768190401844,1.88201603418311,2.10294522896747,1.51437547360799,2.29741398218855,2.25586602644063,2.15591676300777
United Arab Emirates,ARE,5.55380997102418,5.24724401080608,4.95223997523987,4.66407380953512,4.4717655242434,6.47661448989632,8.12439404457886,7.61779694622865,7.15727575370797,6.73568170124179,6.37626894621745,6.07539320463732,5.78447695225097,5.48794157690806,5.18764431874288,7.12134410320015,11.5899798855336,11.3816344065238,6.2188003600278,2.39801204084647,3.35932096341285,3.95899214220379,3.99911978796443,4.65292210905658,5.38380162241984,4.93046894788046,3.17379785893425,1.32986873264335,1.0545163442516,-0.474850154644905,1.83513009029147,5.08834153373914,3.97717097504667,4.68316095317394
Argentina,ARG,1.43788006980649,1.38438120034139,1.35364018555542,1.3401375748685,1.3103115077878,1.25745217924583,1.21464795933597,1.17552563201514,1.15304317167294,1.13312807570195,1.09794672757946,1.06941318335345,1.0331399769648,1.01407652046238,1.02745772191722,1.02824760534561,0.991101935066697,1.01288878477428,1.05977470732485,1.05636332156278,1.06474009749784,1.0276613644946,0.992958989681133,1.0317435786984,1.04725888735726,0.968911125580978,0.881249595012674,0.822969480473088,0.710900853077743,0.484665636741261,0.265879395046274,0.210808731072658,0.286976121920089,0.345829819817895
